category,title,price,link,platform,price_clean
Комп'ютерна техніка,"Ноутбук ""Open Box"" Lenovo IdeaPad Gaming 3-15",28369,https://allo.ua/ua/products/notebooks/noutbuk-lenovo-ideapad-gaming-3-15.html,Allo,28369.0
Комп'ютерна техніка,Ноутбук HP 15-fc0125ua (BF1J0EA),22999,https://allo.ua/ua/products/notebooks/noutbuk-hp-15-fc0125ua-bf1j0ea.html,Allo,22999.0
Комп'ютерна техніка,Ноутбук ASUS Vivobook Go 15 E1504FA-BQ533 (90NB0ZR2-M00UM0) Mixed Black,20999,https://allo.ua/ua/products/notebooks/noutbuk-asus-vivobook-go-15-e1504fa-bq533-90nb0zr2-m00um0-mixed-black.html,Allo,20999.0
Комп'ютерна техніка,Ноутбук ігровий ASUS TUF Gaming FA506NCR-HN006 (90NR0JV7-M002L0),37999,https://allo.ua/ua/products/notebooks/noutbuk-igrovoj-asus-tuf-gaming-fa506ncr-hn006-90nr0jv7-m002l0.html,Allo,37999.0
Комп'ютерна техніка,"Ноутбук Apple MacBook Pro 14"" M5 16/1TB (MDE14) Space Black",100499,https://allo.ua/ua/products/notebooks/noutbuk-apple-macbook-pro-14-m5-16-1tb-mde14-space-black.html,Allo,100499.0
Комп'ютерна техніка,Ноутбук Pixus Bit Windows 11 Pro,16799,https://allo.ua/ua/products/notebooks/noutbuk-pixus-bit-windows-11-pro.html,Allo,16799.0
Комп'ютерна техніка,Ноутбук ACER Aspire 15 (NX.JDHEU.003),24999,https://allo.ua/ua/products/notebooks/noutbuk-acer-aspire-15-nx-jdheu-003.html,Allo,24999.0
Комп'ютерна техніка,"Ноутбук ""Open Box"" Lenovo LOQ-15",36079,https://allo.ua/ua/products/notebooks/noutbuk-lenovo-loq-15-1-20963043.html,Allo,36079.0
Комп'ютерна техніка,Ноутбук Dream Machines RT5080-16 (RT5080-16UA20),124999,https://allo.ua/ua/products/notebooks/noutbuk-dream-machines-rt5080-16-rt5080-16ua20.html,Allo,124999.0
Комп'ютерна техніка,Ноутбук Lenovo ThinkBook 16-G7 (21MW0018RA),38599,https://allo.ua/ua/products/notebooks/noutbuk-lenovo-thinkbook-16-g7-21mw0018ra.html,Allo,38599.0
Комп'ютерна техніка,Ноутбук 15.6 CHUWI HeroBook Plus (8/256)+ Синій Рюкзак CHUWI Waterproof у Подарунок! (CW-112920),11959,https://allo.ua/ua/products/notebooks/noutbuk-15-6-chuwi-herobook-plus-8-256-sinij-rjukzak-chuwi-waterproof-v-podarok-cw-112920.html,Allo,11959.0
Комп'ютерна техніка,Ноутбук LENOVO IdeaPad Slim 3 15IAH8 (83ER00J1RA),25999,https://allo.ua/ua/products/notebooks/noutbuk-lenovo-ideapad-slim-3-15iah8-83er00j1ra-1.html,Allo,25999.0
Комп'ютерна техніка,Ноутбук Lenovo IdeaPad Slim 3 15IAH8 (83ER00AGRA),24999,https://allo.ua/ua/products/notebooks/noutbuk-lenovo-ideapad-slim-3-15iah8-83er00agra.html,Allo,24999.0
Комп'ютерна техніка,Ноутбук Lenovo Ideapad Slim 5 16ABR8 Cloud Grey (82XG005BRA),26999,https://allo.ua/ua/products/notebooks/noutbuk-lenovo-ideapad-slim-5-16abr8-cloud-grey-82xg005bra.html,Allo,26999.0
Комп'ютерна техніка,"Ноутбук Apple MacBook Air 15""M4 16/512GB 2025 (MW1H3) Silver",78999,https://allo.ua/ua/products/notebooks/noutbuk-apple-macbook-air-15-m4-16-512gb-mw1h3-silver.html,Allo,78999.0
